	17-AAG	5-FU	Cisplatin	Docetaxel	Erlotinib	Gemcitabine	Methotrexate	Paclitaxel	Dasatinib	Erastin	MI-2	Ibrutinib
0.0	105.36564239821082	104.59616738445247	101.12957364577323	104.6112402991804	100.8278372521305	97.77103046310611	99.89215075591719	103.44373311308874	98.18353422398827	109.18762958715615	93.40364384419536	105.65729155561594
0.45	101.56521648361719	101.13475677014182	112.22436984925042	92.52444962745612	98.90157352138458	95.90811318640809	92.19958594569951	98.15989814828025	96.20583278270612	103.64350313287542	94.82321930560319	94.07143445954307
0.9	100.03330724608931	105.31450561597735	97.3110075042846	100.12963019877822	111.51409751386446	94.00994337730394	92.3366120239517	90.81977278574112	102.50438480983945	99.90791671214258	89.13879396273381	98.58308585086812
1.35	103.45543055549454	93.82300092685466	102.71515257655815	80.51446832836331	104.75319369778308	89.88721245355124	95.71676284728639	94.27713490158322	92.09023328108732	95.87633823293326	81.16237869787143	109.04941673765542
1.8	93.13020292011319	94.98171948917933	94.86350210487213	94.30160843886138	98.59727793486385	79.48443081893545	92.78250874289006	94.04231828468278	90.97036429547656	87.46086972628571	71.37703738276112	97.23964527117012
2.25	103.09342956036693	64.11086697503752	90.9962607222543	80.03603044629578	86.08609452732144	59.13839148424723	75.73429181669435	74.12807822796759	75.9291566970212	73.01553034101592	50.43561709407409	92.14900521923998
2.7	87.02830191829842	61.64340615155961	69.52589895065483	52.82923324636231	80.52043114821936	34.96445056219011	56.21470909906714	58.924877831639286	62.48604954376958	37.54630239451971	45.09142110135569	92.25652656902147
3.15	50.76461535126008	46.41702465222963	53.74936414404778	43.116767909980325	58.411052773598406	27.628352109199447	36.510491252626004	42.97643643945422	40.625998470676166	27.237693740375175	39.34708304505672	73.81941158591056
3.6	45.46791054741939	25.96409768082209	34.64752598854901	32.61671240379776	27.02593985153441	36.93951144626351	24.535576652014115	36.42470402474599	12.372162799174207	30.730914105517385	30.965974235926506	39.92395773370847
4.05	26.87211925489023	17.467185955416326	33.46469634972436	19.563054619682966	16.294060859764897	19.586942373569606	23.80634175859151	27.073710474402976	19.43352951017557	21.00122271867027	34.10280803311276	22.724323146681233
4.5	11.140452084924577	15.206643810368684	18.51735514436184	15.129838378784378	10.66613148543456	24.95870909479251	13.434636161150419	23.49425351562922	13.56373472747427	18.867847147369957	35.193308834704425	12.503084988424128
4.95	9.81085851365646	22.53257338752796	15.269811967910274	18.86511002061922	6.158786181225798	13.870223798026089	17.783717706981538	18.97765738824775	21.877892984136906	23.56261729517703	27.986230760373893	13.236484298968282
